445,46
254,6
219,22
254,20
617,16
441,7
358,14
445,8
441,12
10,2
265,2
470,4
219,4
109,6
590,8
419,6
500,2
427,8
441,8
265,12
401,6
427,4
10,10
590,4
509,6
470,4
120,4
358,4
13,4
590,2
427,7
265,6
109,2
401,8
590,8
313,2
358,20
10,16
694,1
109,8
637,4
470,1
694,8
561,1
401,1
219,10
442,4
180,76
265,50
441,1
694,1
441,10
445,4
590,4
10,36
78,14
301,8
427,1
445,2
2,8
313,1
637,12
442,10
150,26
313,8
545,12
590,4
358,2
306,22
363,2
301,14
445,18
561,8
704,2
2,12
274,10
545,1
437,18
545,6
358,26
401,14
203,2
355,8
445,13
150,6
78,1
78,12
10,6
126,4
203,2
274,4
301,1
545,4
150,2
301,8
441,20
549,4
306,4
125,32
355,4
109,6
637,8
437,2
203,12
401,2
549,16
126,8
561,10
171,14
302,14
90,6
256,6
445,6
591,6
57,2
313,6
355,24
109,4
401,18
637,6
358,12
155,10
177,1
437,6
126,8
306,2
201,6
301,10
419,16
82,6
302,6
109,4
163,4
341,16
427,22
442,14
180,6
704,10
203,6
109,6
219,1
301,1
441,2
219,2
13,6
126,4
78,2
561,14
637,2
302,2
272,4
203,5
177,2
78,2
519,16
286,4
180,2
590,2
126,18
176,14
254,8
13,2
203,26
306,2
272,16
13,6
590,2
64,4
401,24
201,2
427,8
125,40
590,14
419,4
313,8
180,6
254,20
64,1
155,1
355,34
90,6
442,10
176,20
201,2
636,8
10,2
183,68
135,2
272,2
10,2
155,16
196,2
272,6
120,2
201,6
135,30
13,2
109,4
302,6
358,18
10,2
272,2
10,6
120,2
57,18
306,2
90,12
147,10
176,6
341,14
272,11
120,2
201,4
302,10
78,6
254,6
203,6
147,14
163,2
171,6
125,10
256,1
272,2
126,8
176,14
195,2
341,6
256,6
254,2
131,16
171,12
226,4
219,4
195,18
13,4
155,2
363,12
272,6
57,8
78,14
302,8
326,34
135,20
147,10
256,6
358,2
109,10
163,4
126,2
203,2
176,14
286,10
272,2
148,16
10,22
64,2
201,8
219,20
131,2
274,2
302,2
147,20
78,2
274,1
155,2
64,2
109,6
2,2
197,8
16,2
256,8
64,8
302,8
244,4
363,8
180,1
254,6
177,1
78,2
180,1
306,3
120,18
203,4
109,2
72,12
131,2
176,6
78,2
195,1
135,6
341,4
272,6
171,2
358,4
13,8
76,1
2,4
195,8
244,8
131,12
313,14
274,14
201,2
254,2
197,2
64,8
357,2
358,6
10,4
201,4
147,26
135,2
286,6
272,18
171,28
197,2
203,10
355,2
256,8
10,1
72,14
326,4
195,4
76,4
135,20
363,4
57,28
155,4
254,4
131,6
10,2
219,2
357,2
196,4
363,2
21,14
341,16
358,6
43,4
313,8
155,2
201,8
76,8
326,2
195,2
59,20
148,6
155,2
355,18
131,22
163,4
90,2
16,4
193,2
72,10
219,10
363,8
272,8
201,2
357,4
278,2
180,4
148,4
254,2
197,8
155,4
358,2
10,2
78,6
302,2
278,4
256,6
13,4
126,8
306,4
147,6
163,2
180,10
358,2
326,4
196,2
301,1
341,6
45,2
148,1
163,1
64,8
72,6
219,6
135,6
301,10
363,2
21,2
148,2
79,10
201,2
302,10
163,14
158,4
256,2
306,6
155,2
78,8
193,10
278,1
341,1
126,8
274,4
76,2
59,6
278,8
254,6
57,32
245,6
135,2
292,8
72,2
326,2
219,2
45,2
306,8
226,2
147,4
135,8
286,6
21,4
272,4
326,1
155,14
201,2
341,2
180,4
254,4
90,12
79,6
109,4
322,2
278,10
13,12
144,6
313,2
195,1
163,10
363,2
272,2
286,1
292,6
126,1
302,2
326,4
21,4
194,2
45,16
126,8
147,6
135,4
272,2
180,2
274,2
114,8
109,8
219,4
16,22
196,4
306,2
195,6
341,6
194,6
226,2
131,6
286,4
158,22
148,2
280,4
306,4
355,10
79,6
322,4
13,2
155,2
78,2
201,2
72,2
147,2
135,10
163,12
278,24
256,6
292,6
114,2
193,4
21,1
272,8
78,1
183,2
201,2
79,16
195,14
301,1
21,2
180,1
256,1
274,6
201,10
301,10
322,14
180,10
265,2
147,1
292,10
90,4
147,2
114,6
355,10
45,1
16,11
196,14
193,2
256,12
201,2
147,1
90,1
114,1
274,2
183,2
193,2
147,4
265,2
306,6
79,2
245,4
183,2
326,6
45,2
16,16
158,2
274,2
147,10
163,18
306,2
355,4
43,6
195,1
301,6
72,2
158,12
341,2
45,4
196,4
