0,0,0
0,0,0
9.2778,5,3
9,5,3
19.1622,11,4
19,11,4
29.2462,18,5
29,18,5
39.425,23,6
39,23,6
49.0728,28,6
49,28,6
59.1874,33,9
59,33,9
69.3326,39,9
69,39,9
79.5684,50,10
79,50,10
89.4106,55,11
89,55,11
100.459,59,13
100,59,13
111.202,61,13
111,61,13
121.921,64,13
121,64,13
130.785,70,13
130,70,13
139.768,73,16
139,73,16
149.154,77,18
149,77,18
159.417,85,18
159,85,18
169.162,90,19
169,90,20
178.954,94,21
178,94,21
187.071,97,22
187,97,22
196.932,99,22
196,99,23
207.134,102,21
207,102,21
217.357,105,20
217,105,20
226.637,108,21
226,108,22
237.864,116,24
237,116,23
246.488,125,27
246,125,27
256.219,130,27
256,130,26
266.342,137,29
266,137,30
276.215,143,30
276,143,30
286.151,151,30
286,151,30
296.383,160,35
296,160,35
306.751,161,32
306,161,32
317.037,161,32
317,161,32
331.137,161,29
331,161,28
343.448,161,31
343,161,31
354.842,161,30
354,161,30
365.357,161,29
365,161,29
378.88,161,31
378,161,31
389.804,161,33
389,161,33
402.795,161,33
402,161,31
415.682,161,31
415,161,31
427.115,161,32
427,161,32
732.753,153,29
732,153,29
874.728,143,33
874,143,28
889.059,142,29
889,142,29
904.505,142,30
904,142,29
917.892,144,35
917,144,35
931.162,145,29
931,145,27
944.947,148,27
944,148,27
958.424,152,34
958,152,33
972.578,155,30
972,155,31
986.794,155,28
986,155,28
1000.09,157,28
1000,157,27
1014.62,156,32
1014,156,32
1030.02,159,35
1030,159,32
1044.28,160,32
1044,160,32
1061.41,161,38
1061,161,38
1076.6,164,36
1076,164,34
1093.75,165,32
1093,165,31
1110.66,166,32
1110,166,28
1125.54,164,33
1125,164,33
1142.81,166,31
1142,166,31
1158.43,166,35
1158,166,34
1174.27,165,30
1174,165,31
1189.38,161,29
1189,161,29
1204.54,159,31
1204,159,31
1219.35,158,33
1219,158,32
1234.29,155,32
1234,155,31
1248.99,151,37
1248,151,34
1262.81,147,28
1262,147,28
1276.7,143,31
1276,143,28
1290.33,141,27
1290,141,26
1304.41,139,25
1304,139,25
1318.26,137,24
1318,137,23
1332.26,136,23
1332,136,24
1346.58,136,26
