0,0,0
0,0,0
0.89454,0,0
1.89366,0,0
1,0,0
2.05846,0,0
2,0,0
3.014,1,0
3,1,0
4.0176,1,0
4,1,0
5.02684,3,0
5,3,0
6.03614,3,0
6,3,0
7.0341,4,2
7,4,2
8.09956,4,2
8,4,2
9.10538,5,3
9,5,3
10.0916,5,2
10,5,2
11.0114,5,2
11,5,2
12.0054,6,3
12,6,2
12.9739,6,3
13.9783,8,4
13,8,4
14.0039,9,4
14,9,4
15.0263,9,4
15,9,4
16.0254,10,4
16,10,4
16.9676,10,4
19.109,11,4
19,11,4
19.2888,11,4
20.2506,12,5
20,12,5
21.0273,12,5
21,12,5
21.6275,12,5
22.679,15,5
22,15,5
23.0608,15,5
23,15,5
23.9898,15,5
24.934,15,5
24,15,5
25.0396,16,5
25,16,5
26.04,17,5
26,17,5
26.9961,17,5
28.0023,18,5
28,18,5
28.9594,18,5
29.9604,18,5
29,18,5
29.9923,18,5
30.9468,19,5
30,19,5
31.0004,19,5
31,19,5
31.9982,19,5
32.9697,21,5
32,21,5
33.0293,21,5
33,21,5
34.0658,22,5
34,22,5
35.0503,23,6
35,23,6
35.9751,23,6
37.0036,23,6
37,23,6
38.0318,23,6
38,23,6
39.0042,23,6
39,23,6
39.8782,23,6
40.8636,24,6
40,24,6
41.0595,25,6
41,25,6
42.2007,25,6
42,25,6
43.0518,25,6
43,25,6
44.178,27,6
44,27,6
45.1752,27,6
45,27,6
46.2298,27,6
46,27,6
47.3883,27,6
47,27,6
48.7565,28,6
48,28,6
50.1014,28,6
50,28,6
52.873,28,6
52,28,6
55.5441,31,7
55,31,7
59.6441,33,9
59,33,9
64.4019,38,9
64,38,9
70.4202,40,9
70,40,9
77.5736,49,10
77,49,10
86.2845,52,10
86,52,10
96.1988,57,12
96,57,12
106.058,60,12
106,60,12
115.956,64,14
115,64,14
125.904,67,13
125,67,13
136.133,71,13
136,71,14
146.085,77,18
146,77,18
157.881,84,18
157,84,18
167.186,89,19
167,89,19
177.52,94,21
177,94,21
188.718,97,23
188,97,22
197.343,99,22
197,99,22
208.827,104,21
208,104,21
216.588,105,20
216,105,21
227.459,109,22
227,109,22
236.692,116,23
236,116,23
244.617,123,27
